MMWR Week,American Indian or Alaska Native,Asian,Black or African American,Hispanic or Latino,Multiple Races,Native Hawaiian or Other Pacific Islander,Other Race,White
8-May-22,0,0,33.333,0,0,0,0,66.667
15-May-22,0,13.333,6.667,26.667,0,0,0,53.333
22-May-22,0,5.882,5.882,41.176,0,0,5.882,41.176
29-May-22,0,6.383,12.766,27.66,0,2.128,0,51.064
5-Jun-22,0,3.191,14.894,30.851,0,1.064,2.128,47.872
12-Jun-22,0,5.181,15.026,26.943,1.036,0,2.073,49.741
19-Jun-22,0.303,3.03,16.97,29.394,0.909,0.606,0,48.788
26-Jun-22,0,4.606,21.694,32.392,0.446,0,2.972,37.89
3-Jul-22,0.166,3.4,25.954,31.841,0.415,0.249,2.488,35.489
10-Jul-22,0.478,3.291,29.352,28.875,0.425,0.159,2.548,34.873
17-Jul-22,0.178,3.073,30.423,29.22,0.713,0.223,2.94,33.229
24-Jul-22,0.181,2.757,31.955,32.572,0.472,0.109,2.031,29.924
31-Jul-22,0.561,3.301,32.288,32.123,0.396,0.231,2.608,28.491
7-Aug-22,0.512,2.452,34.187,33.419,0.439,0.22,1.977,26.794
14-Aug-22,0.327,2.905,36.457,31.751,0.491,0.45,3.069,24.55
21-Aug-22,0.5,2.8,36.35,30.55,0.65,0.15,2,27
28-Aug-22,0.354,2.18,35.533,31.644,0.471,0.53,2.18,27.107
4-Sep-22,0.95,2.193,38.523,29.898,0.439,0.365,2.12,25.512
11-Sep-22,0.548,1.645,37.477,31.17,0.731,0.366,3.199,24.863
18-Sep-22,0.12,2.41,33.855,30,1.205,0.241,3.614,28.554
25-Sep-22,0.577,2.597,36.652,31.025,0.722,0.144,2.165,26.118
2-Oct-22,0.565,3.39,33.333,34.652,0.565,0.377,3.39,23.729
9-Oct-22,0.879,1.978,39.121,30.549,1.099,0.22,1.978,24.176
16-Oct-22,0.303,0.909,35.758,34.242,0.606,0,3.939,24.242
23-Oct-22,0.362,3.623,31.884,27.174,1.087,0,2.899,32.971
30-Oct-22,0.427,2.564,31.624,29.06,0.855,0,2.991,32.479
6-Nov-22,0,2.286,38.286,22.286,0,0,3.429,33.714
13-Nov-22,0,5.442,27.211,28.571,0,0,2.721,36.054
20-Nov-22,0,0.99,37.624,22.772,0.99,0,3.96,33.663
27-Nov-22,0,2.174,36.957,25,0,0,3.261,32.609
4-Dec-22,0,0,50.667,20,0,0,4,25.333
11-Dec-22,0,0,51.163,27.907,0,0,6.977,13.953
18-Dec-22,0,0,36.364,13.636,4.545,0,0,45.455
25-Dec-22,0,5.556,38.889,22.222,0,0,0,33.333
